Gaia,Prot,BP-RP,E_BP-RP_,RUWE
664417494934591488,13.98,1.806,0.24969999492168427,0.95
659485807326329600,1.42,3.031,,1.185
664604549350339200,1.22,3.232,0.41839998960494995,1.04
664311250327154432,0.28,3.089,,0.978
659488826687020672,0.78,2.872,0.35030001401901245,0.976
664353379662996224,15.82,1.805,0.27129998803138733,1.08
662632987562951808,6.96,2.89,0.45840001106262207,1.052
662655183953995392,12.63,2.625,0.35350000858306885,1.069
664625714949149312,1.88,3.018,,1.057
664513049366544256,15.33,1.862,0.2529999911785126,1.033
661200663212002304,5.14,3.117,0.5342000126838684,0.977
664429585265395328,0.26,2.674,0.010400000028312206,1.065
661133425500359040,0.69,3.136,,2.799
659738179604773248,1.56,3.113,0.43869999051094055,1.005
661121949347800064,20.88,2.767,0.43950000405311584,2.006
,1.0,,,
664634820279791488,0.67,2.804,,0.954
664461853356491264,6.17,2.932,,1.041
661116241335005056,0.21,3.356,0.3273000121116638,1.0
661573608108602752,19.27,2.195,0.11710000038146973,1.071
661488052360088704,13.18,2.74,0.3490000069141388,0.982
664365852247875840,2.32,2.808,0.4041999876499176,1.03
661401431460014720,10.02,2.684,,1.075
662661540505500160,15.57,2.284,0.26339998841285706,1.102
664461578478588672,15.03,2.893,,1.021
662807019637235840,15.74,2.195,0.2696000039577484,6.261
664600907218072064,13.36,1.786,0.24809999763965607,1.0
659691656519169920,13.6,2.51,0.28450000286102295,0.997
661768771422658688,14.52,1.68,0.19529999792575836,2.495
661327248785037184,2.11,2.993,0.4097000062465668,1.019
664652820486153984,14.59,2.686,,
660950593036567296,0.63,2.938,0.31369999051094055,1.026
661497638727087488,25.7,2.423,0.2849999964237213,1.587
659689109602230272,1.04,2.953,,1.002
658641996575437440,19.02,2.799,0.40689998865127563,0.952
664352761187716352,14.88,1.821,0.2630000114440918,1.054
664395539061883904,2.78,3.134,,
665149662302408576,0.69,3.182,0.00989999994635582,1.06
664382959101502592,0.39,3.119,,
659329126920001408,0.9,2.557,0.29339998960494995,1.29
659685540485811072,0.81,3.283,0.5192999839782715,0.987
664520294975172608,0.77,3.187,0.48420000076293945,1.051
659763880689114240,19.02,1.422,0.06889999657869339,0.963
663082653459050752,0.33,3.301,0.23070000112056732,1.076
662632540886348928,13.3,1.372,0.05429999902844429,1.115
660225160176260992,0.59,2.96,0.6790000200271606,1.071
664356502102864512,1.85,2.667,,0.851
662665629314342272,16.42,2.006,0.20999999344348907,1.025
661770729927747456,20.04,3.092,,0.979
659760650873719040,12.02,1.476,0.11710000038146973,1.089
664516107383262208,1.72,3.087,0.3734000027179718,0.935
665458595007014912,14.66,1.805,0.30799999833106995,1.008
664974015320042752,0.18,3.076,,0.951
,1.45,,,
659487039980639872,0.96,3.094,0.40119999647140503,1.03
664989722016905728,15.33,2.774,0.3580999970436096,1.056
659744978536843264,0.23,3.202,0.45239999890327454,1.013
665412690396632832,18.44,2.806,0.3634999990463257,1.054
664431548067327616,18.55,2.23,0.24369999766349792,0.999
659668635494494848,14.73,1.618,0.1736000031232834,1.067
660197019550544256,1.83,3.055,0.4068000018596649,0.974
660999491240341888,12.37,2.823,0.41110000014305115,0.979
664963024499946496,11.17,0.862,0.000699999975040555,1.152
663067638253511552,25.26,2.753,0.36039999127388,1.032
661008527851529728,13.48,1.6,0.17599999904632568,1.024
660948123431659648,5.79,2.894,,0.958
661838281173303808,1.0,3.13,0.44179999828338623,1.019
658630249840567680,15.18,1.978,0.19750000536441803,1.888
659689865516277632,0.47,3.035,0.40119999647140503,1.128
659370461684793216,1.33,2.772,0.36550000309944153,1.023
658615440793299712,21.32,2.784,0.3772999942302704,0.988
661836284012503552,0.57,3.143,0.46970000863075256,1.028
661598175321463936,19.65,2.208,0.26100000739097595,1.068
662677758301970688,2.18,2.817,0.4036000072956085,0.951
659228074929597440,15.99,1.976,0.1348000019788742,1.022
661325255921404288,0.8,2.741,,6.703
658607950370340608,15.86,1.954,0.2702000141143799,1.073
659343111333443968,1.25,3.004,0.40610000491142273,1.033
