index,TIC,GaiaID,bp_rp_corr,Median_Period,Period_err,LC_source,ra,dec,l,b,ecl_lon,ecl_lat,pmra,pmdec,phot_g_mean_mag,ag_gspphot,bp_rp,ebpminrp,parallax,distance_gspphot,ruwe,radial_velocity,radial_velocity_error,vbroad,x,y,z,Type,HD,Vmag,B-V,V-I,MemF,comments,Voff(km/s),Vr(pred),rvdiff_x,simbadrvmem,rvdiff_y
1723,139232635,6541802406664428672,0.5236678,2.5357948720482306,0.7681930515686588,SPOC,346.719415253801,-43.52041348242113,348.2419768478794,-63.29668211850833,328.83946503616994,-34.439091525752175,-47.445978412440624,-12.967240750029717,4.309135,0.0001,0.5236678,0.0,25.20883618209492,40.2471,1.0942858,16.386969,0.492643,59.22361,17.451879097379464,-3.63254566952166,-35.43778702166277,,,,,,,,2.989551159449018,12.603294049657311,3.7836749503426894,,
1724,139232645,6541802578463122688,0.77848244,8.389759739923697,2.4725246322748875,SPOC,346.6628694344627,-43.50383337518446,348.31865754523795,-63.26896732462877,328.8049969611475,-34.40520642827584,-48.00473989459352,-22.34835205293517,7.5365047,0.0,0.77848244,0.0,24.907092030119465,40.0989,1.0178213,15.388988,0.13701752,,17.685197586698894,-3.656422849771501,-35.85837700384607,,,,,,,,4.719055763303829,12.610438577113728,2.7785494228862717,,
1281,141333676,4623982445372922112,1.906582,3.1459926049310236,1.3481596403957332,SPOC,83.74614956360386,-77.4353110074391,289.1215508759518,-30.56120612821076,277.1150909404046,-78.97011256450259,-21.716990702450225,-30.272533117232424,14.029665,0.4176,2.147582,0.241,10.767264740350605,92.6898,1.02498,-0.23749699,1.8556385,,26.19689894315106,-75.56020263883622,-47.22262519595636,,,,,,,,1.6574504620931851,5.80909767786744,6.04659466786744,,
330,141759686,1138424963487758336,0.5610817,1.2401132309515224,0.006936005759358821,SPOC,117.9997144452268,78.22604905932867,136.0238438368529,29.592068438940533,99.79805801827688,55.74212075399265,-10.379086095721124,21.882032054110145,8.05347,0.0003,0.5612817,0.0002,11.204144518853433,89.1913,0.92067,-5.2678313,0.17890653,21.927101,-55.85101223310762,53.88979603365601,44.07489525189364,,,,,,,,4.457328388816208,-10.978644537548352,5.710813237548352,,
431,141821609,1562349333797785984,3.0249205,0.30437523662427507,0.0001387158881168693,SPOC,206.2420518704106,55.47263599708303,107.70002745162152,60.0443631382149,169.11373240313748,58.82200473555648,112.68258194432453,-28.366901547944902,13.929652,0.0,3.0249205,0.0,38.30746176474421,26.0179,1.3311691,-6.6412787,2.4366107,,-3.963009734718143,12.417730056618623,22.617324292684177,,,,,,,,0.5480002867856534,-7.48191387591461,0.8406351759146098,,
1409,142082942,5265573387424474112,2.81249,0.9240685620959945,0.0020125875150331374,SPOC,98.25955226521404,-72.76230571536487,283.54034540989204,-27.171382721595588,248.99059287626807,-83.1805687862499,-14.78367426619313,-65.3459017734947,14.231009,0.0015,2.81349,0.001,21.544370394284428,46.3855,1.1004137,-1.435023,2.609416,,9.668070485267274,-40.14585454154594,-21.195961112140917,,,,,,,,1.911607475029046,4.272421601154196,5.707444601154196,,
312,142519290,1077122890975062272,0.6370194,2.953230997893524,0.752764354910527,SPOC,163.36302302578983,72.40520472429684,134.48056822761953,41.97534142932143,122.27604584359716,57.15434885445431,28.91209202547323,18.8109602337794,8.6335535,0.0004,0.6372194,0.0002,10.794394476358011,92.3491,0.96543044,-15.586571,0.1834609,12.318248,-48.256437737341045,49.13943289279122,61.95907664976862,,,,,,,,3.678263848607037,-11.005716535821495,4.580854464178504,,
845,143350190,2983810610570956416,1.6682109,13.97045187525901,1.3619029042169917,QLP,82.25134235595199,-15.728352588459757,218.432979327892,-25.158949412315643,80.39922523126177,-38.90974110226886,-16.86820067354757,-34.45549017646455,13.267588,0.5478,1.9715109,0.3033,10.58296843000844,94.9846,1.0867975,-7.0342774,1.2367122,,-66.99653358451363,-53.163615205862,-40.1712341484008,,,,,,,,4.559010583132423,-8.010684198901217,0.9764067989012172,,
1576,146077130,5902799062185674880,0.56700134,1.4280161920538246,0.16254766870055837,SPOC,230.27020144673543,-47.76042896349319,327.2826526402206,7.910724613976109,240.8006020123508,-28.268349055214813,75.32911126640255,-16.89050089196141,6.669782,0.0,0.56700134,0.0,21.92674872643799,45.5575,0.8833246,6.994175,0.17703333,43.415764,38.00566558642442,-24.41545631593177,6.2768059566543934,,,,,,,,3.757509142000838,9.293823637600704,2.299648637600704,,
702,146798905,2404434606264229120,1.8446577,17.07507156887197,1.0954404238020157,QLP,342.7457108867012,-16.509656786278185,47.52790712471446,-60.19326758929482,337.78408908884666,-8.488207493722546,-21.48312425152535,-18.51231690318708,13.6553545,0.4019,2.0727577,0.2281,10.796151652917771,93.1399,1.1238003,18.409098,3.6981568,,31.088955894361685,33.96083610594613,-80.37188430426814,,,,,,,,2.973910512365608,12.04594367471645,6.363154325283551,,
