GaiaID,TIC,HD,index,ra,dec,l,b,ecl_lon,ecl_lat,pmra,pmdec,bp_rp,ebpminrp,bp_rp_corr,phot_g_mean_mag,ag_gspphot,parallax,distance_gspphot,ruwe,vbroad,x,y,z,radial_velocity,radial_velocity_error,Voff(km/s),Vr(pred),rvdiff,Type,Vmag,Median_Period,Period_err,LC_source,Period_notes,B-V,V-I,MemF,comments,Teff,Median_rot_age,Median_rot_up_err,Median_rot_low_err,peak_rot_age
1746651843668790144,230174573,,517.0,318.29766190854514,12.169425384383404,62.183976166209,-24.0992009773282,324.90733002622983,26.87766317414227,-4.819828216974989,-23.78044140301952,0.9606695,0.0485,0.9121695,10.435617,0.0912,10.056753504966215,98.614,1.2759542,,42.35582895259127,80.28054846008204,-40.60134616417377,10.268158,0.29054806,1.902616708995674,10.902339224553009,0.634181224553009,,,5.318749771325073,0.0,TESS-SPOC,TESS-SPOC has best fits,,,,,5480.0,269.35,138.91,114.03,178.1563126252505
1765849729004777344,466351062,,525.0,326.4623740337951,11.217103321577673,67.06949348953536,-30.887860030249897,332.81978284273407,23.20627508307829,-21.634978486205213,-22.20837709611115,0.75172997,0.0022,0.74952997,9.56213,0.0041,10.18000016599507,97.9006,1.2662375,10.654792,32.84447925628318,77.63842431216709,-50.42823411321336,10.466572,0.42197126,4.135223659266113,10.3751708063958,0.0914011936041987,,,6.956322947857593,0.0017364068754148,QLP,QLP has best fits,,,,,5990.0,993.04,891.74,446.59,631.4629258517034
1798896719210880000,371699559,,535.0,323.9271275509126,26.333929265300128,77.40037525783974,-18.767368568624,336.98502919855395,38.09063916928052,-20.95906726953362,-40.62045741360437,0.87922764,0.0015,0.87772764,9.859443,0.0027,12.61787604527042,79.1057,1.0990295,6.667511,16.368768375012664,73.23191309485038,-25.497674929779627,0.70178044,0.15022577,3.316737491833545,7.476554694537404,6.774774254537404,,,13.093027603995834,0.1924347028187156,QLP,"QLP has best fits, excl sec 15",,,,,5550.0,1422.15,542.29,449.27,1342.685370741483
1837182676181120896,1950657646,,543.0,304.5563139655562,29.203715236262628,68.56615756846553,-3.710802603451692,316.7670365995959,47.18993900161983,4.3010175917265485,-88.00677746529504,1.4352183,0.0005,1.4347183,9.528364,0.0008,29.769598548792885,33.4817,1.2387048,,12.249426808388945,31.20258961310845,-2.17404527660612,11.990302,0.33850622,1.642096406346624,7.760849439257164,4.229452560742836,,,8.572054192,0.1079356462,QLP,,,,,,4440.0,397.13,485.05,204.71,178.1563126252505
1837699549706327296,258473803,,544.0,315.26731479928844,20.67619801508469,67.43269686282092,-16.574306074470172,325.098669737874,35.86475686058744,-8.007035430647102,-44.548004199097065,1.2957811,0.0051,1.2906810999999998,10.384908,0.0096,17.32878884864493,57.239,0.90904385,6.1647325,21.226126473750146,51.07462713711578,-16.461541978561144,13.265759,0.24351124,1.3066279142270307,9.354769452520651,3.910989547479348,,,11.135108078051736,0.2943234464149276,QLP,QLP has best fits,,,,,4600.0,877.67,458.32,441.23,670.5410821643287
1866628181678694528,236601904,,550.0,314.9912272897994,34.66229979690362,78.30453699562958,-7.470089728185348,332.1333261345938,48.86773967852341,-5.101240802472379,-27.960670923902743,1.2899561,0.0198,1.2701561,11.065122,0.0377,13.137420720323282,76.4066,1.2963452,7.375565,15.298994660591443,73.90552177675447,-9.896052700515536,8.030617,0.2322432,4.575183435549791,6.07281657242212,1.9578004275778795,,,10.738482698408443,0.2375879722649276,QLP,QLP sec 75 & 82 has best fits,,,,,4830.0,863.8,415.48,413.62,881.5631262525051
1884297093007454080,44196556,,556.0,342.7879328580804,28.17698215238276,93.03047281345668,-27.6202064384017,356.5007631370617,32.47889196672681,-31.86806397470896,-25.544361876683688,1.0168467,0.0457,0.9711467,10.223493,0.0863,12.634554728698198,79.0253,0.9087548,8.056026,-3.707479017366349,70.03025257437899,-36.69369856564602,6.3891835,0.22250386,3.8007810392529713,4.922060842441707,1.467122657558293,,,9.477389539738938,0.0,QLP,"QLP better fits, long period harmonic fits better",,,,,5270.0,756.48,317.04,313.59,740.8817635270541
194261890493524096,67360599,,33.0,83.53623611164758,40.86461359597149,168.6329089298318,4.337102699043018,84.87742774768203,17.540202200353075,-10.552719638097324,7.622058862412418,0.89167213,0.0547,0.83697213,9.8876,0.1026,11.509660682042558,86.6756,0.88202006,,-84.93535218054255,17.075209321920383,6.570519722720383,-16.414244,0.19357075,4.516408961643037,-13.702972754128284,2.711271245871716,,,9.73335216154997,0.2288102071990936,QLP,long per harmonic has best fits,,,,,5680.0,976.09,502.06,333.41,858.1162324649299
1972755552249725440,346286877,,581.0,327.80794274030524,43.215067787902605,91.50697465368904,-8.394974173618309,352.2572886539578,51.50660122411491,-19.905229552591955,-53.260214056201065,1.3487768,0.0399,1.3088768,11.298515,0.076,13.285343541045195,75.6719,0.89617956,13.795101,-1.9583122452788075,74.43864564484376,-10.989271849280822,2.2026575,0.3826601,4.697544228026604,3.076914302343789,0.8742568023437896,,,9.621077318,0.5509659033,QLP,,,,,,4600.0,654.94,455.81,360.15,381.3627254509018
2017636998457217792,1851136790,,598.0,292.3562278832602,19.82571964359043,54.81252645356537,0.9462502438656586,298.3441440856941,41.09029318145378,14.352698074973896,-30.58838444976669,1.1730337,0.0531,1.1199337,10.061129,0.101,15.18183975696419,65.6196,1.2744288,,37.95159715916245,53.82479743916074,1.0877753830740244,6.196738,1.8005538,3.862509416858638,9.82979106100524,3.63305306100524,,,7.818720071502202,0.2752024614068324,QLP,,,,,,5100.0,472.56,300.0,236.74,412.62525050100203
